RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Trunk_Cost,Transit_Cost,Dist_Cost,Reverse_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Total_Cost,Shipping_Distance,Reverse_Shipping_Distance,Normal_Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
769,东莞市,5744.5435716035345,0.0,0.0,0.0,0.0,49581.749392828504,38670.60661462321,0.0,32344.361141333327,11802.05057946411,107.4183517072867,161721.80570666664,120596.71714878504,0.0,89.52,0.0,1.0,0.306586667,0.7457047404449906
531,济南市,814601.6197239759,3868244.638590151,497851.7287239759,2355043.991155698,1015348.9187104771,424804.44706669915,2158079.3030376364,0.0,1874456.6823135023,759961.8533200445,6916.920843069348,10413648.235075017,8325585.071007988,2539.17,1021.1399999999999,10.0,4.0,0.41225217030061545,0.7994878339529405
760,中山市,1811694.2258315117,20570073.774830088,1825320.1474330544,13194202.716590777,5550550.910806255,560615.3049786756,8805857.437594606,0.0,7954502.054642916,3224997.5049962173,29352.858125315353,44191678.08134953,37891048.57204629,10164.33,1616.9099999999999,31.0,9.0,0.4781599160120301,0.8574249772161892
851,贵阳市,494313.65469736746,1040185.5861639422,204332.42617069744,496718.1202426692,339135.03975057555,245232.4462432694,721871.0357765467,0.0,679250.1324124637,275388.7002920488,2506.4966520018984,3773611.8467359096,2686539.2005962217,9389.09,928.1600000000001,18.0,3.0,0.3406333466752999,0.7119278054312922
771,南宁市/崇左市,249505.07344366686,710558.7471488442,105022.26886179623,349198.3184594139,256338.15982763405,74078.26625130614,412575.0642488331,0.0,388215.6966162702,157394.47226078346,1432.5523064195595,2156753.87009039,1585427.7742652535,8429.374999999998,25.0,12.0,1.0,0.3638046159468656,0.7350990747028578
551,合肥市,323552.690536136,1814414.2592243375,165301.98898510242,1189051.258102648,460061.01213658723,43463.38422026335,724590.2460722157,0.0,743791.4120338064,301555.7016100764,2744.660023000817,4132174.5112989256,3326259.3015506235,2069.049999999999,25.0,10.0,1.0,0.4496125800990403,0.8049658339587
595,泉州市,643256.9404956471,2960368.239780882,234239.61430971944,1904330.9332651882,821797.6922059743,177443.9778494172,1188106.8166318594,0.0,1219590.867500483,494459.29836795945,4500.404608454013,6775504.819447128,5545509.901762642,1542.4599999999998,697.79,9.0,5.0,0.4631112073928597,0.8184644612525194
572,湖州市,3428248.6827120413,26323510.792445447,2495458.25282189,17110362.908714313,6717689.6309092445,1140048.0040015709,10752138.635381691,0.0,11037063.252431275,4474761.739586243,40727.79786129428,61317018.06906268,49252760.68425998,8108.57,3476.1600000000003,32.0,16.0,0.447894559476363,0.8032478133360226
22,天津市,2182968.1459169793,10911906.259933047,681162.0397908544,7619695.107537038,2611049.112605155,281618.2945551409,3395761.2858522437,0.0,3651734.670821645,1480524.5031565535,13475.243197826363,20287414.83789803,18241020.51116208,3756.7000000000003,232.43,13.0,3.0,0.551747210964408,0.8991298623759015
311,石家庄市,585198.246218512,1946683.4211843319,247795.40550445928,1100451.8532142825,598436.16246559,288626.7973235329,978981.0607622165,0.0,1052776.9123694198,426827.8381708725,3884.845479215145,5848760.6242745565,4267068.191639502,9230.36,1840.5799999999997,20.0,5.0,0.38218528028493537,0.7295679316964288
29,西安市/咸阳市,849730.8296597427,5243667.860932994,591986.4180870724,3565287.335648176,1086394.107197746,433749.69367214997,899142.9626089609,0.0,1015266.627096963,411620.02559073013,3746.4290108706705,5640370.150538682,7591827.144311068,78683.22000000003,4859.165,49.0,5.0,1.0065682575926198,1.3459803065559468
371,郑州市,685198.8701148292,2749184.2858440476,285561.01178938174,1623462.4268791273,840160.8471755387,153607.3272550796,1194363.0331740421,0.0,1348614.1566424833,546769.2710992489,4976.512638225176,7492300.870236016,5445768.802915652,6670.98,176.28,26.0,2.0,0.3874366050395525,0.7268486540028797
24,沈阳市/铁岭市/抚顺市,844735.9274103134,3246788.6361667295,406329.0797306436,2097672.9875711403,742786.5688649457,243723.67789870407,959720.654981426,0.0,1204075.4274505428,488168.8662194427,4443.151180469565,6689307.930280799,5654308.396497403,20534.206666666647,1334.6166666999998,38.0,3.0,0.5218046994465257,0.8452755435135202
711,鄂州市,1947758.1426276946,8349551.050816429,1955493.7225308428,4254559.424394171,2139497.9038914153,421341.6283220802,2261204.011388273,0.0,3404315.835988231,1380213.368714002,12562.244507712629,18912865.755490173,14436412.526515013,35914.56333333333,2426.93,56.0,5.0,0.4637527063603477,0.7633117430828429
