RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Trunk_Cost,Transit_Cost,Dist_Cost,Reverse_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Total_Cost,Shipping_Distance,Reverse_Shipping_Distance,Normal_Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
531,济南市,814601.6197239758,3868244.638590151,497851.7287239759,2355043.991155698,1015348.9187104771,424804.44706669915,2115764.022585918,0.0,1874456.6823135023,759961.8533200445,6781.294944185634,10413648.235075017,8283269.79055627,2539.17,1021.1399999999999,10.0,4.0,0.41225217030061545,0.7954243895676009
760,中山市,1821775.6065863296,20603430.752069987,1834478.861224878,13206372.120321304,5562579.770523807,617789.893149432,8681233.964163437,0.0,7998765.795612245,3242943.37429228,28937.446547211457,44437587.753401354,37901220.404995106,10712.09,1641.9099999999999,32.0,10.0,0.4775511389813255,0.852909042122658
851,贵阳市,498323.73054006184,1057912.6179261613,207788.34840360977,503415.8783922046,346708.39113034704,245232.4462432694,713457.9909457567,0.0,684760.4890883309,277622.7667878817,2477.2846907838775,3804224.939379617,2701363.544203518,10054.84,928.1600000000001,19.0,3.0,0.3425520532920811,0.7100956403077598
771,南宁市/崇左市,249505.07344366683,710558.7471488442,105022.26886179623,349198.3184594139,256338.15982763405,74078.26625130614,404485.35710669914,0.0,388215.6966162702,157394.47226078346,1404.463045509372,2156753.87009039,1577338.0671231195,8429.374999999998,25.0,12.0,1.0,0.3638046159468656,0.7313482029625443
551,合肥市,323552.6905361359,1814414.2592243375,165301.98898510242,1189051.258102648,460061.01213658723,43463.38422026335,710382.5941884468,0.0,743791.4120338064,301555.7016100764,2690.8431598047227,4132174.5112989256,3312051.649666854,2069.049999999999,25.0,10.0,1.0,0.4496125800990403,0.8015275348634125
595,泉州市,643256.9404956471,2960368.239780882,234239.61430971944,1904330.9332651882,821797.6922059743,177443.9778494172,1164810.6045410384,0.0,1219590.867500483,494459.29836795945,4412.161380837267,6775504.819447128,5522213.689671821,1542.4599999999998,697.79,9.0,5.0,0.4631112073928597,0.8150261621572319
572,湖州市,3428248.6827120413,26323510.792445447,2495458.25282189,17110362.908714313,6717689.6309092445,1140048.0040015709,10541312.387629109,0.0,11037063.252431275,4474761.739586243,39929.213589504194,61317018.06906268,49041934.436507404,8108.57,3476.1600000000003,32.0,16.0,0.447894559476363,0.7998095142407352
22,天津市,2182968.1459169793,10911906.259933047,681162.0397908544,7619695.107537038,2611049.112605155,281618.2945551409,3329177.7312276894,0.0,3651734.670821645,1480524.5031565535,13211.022742967021,20287414.83789803,18174436.956537522,3756.7000000000003,232.43,13.0,3.0,0.551747210964408,0.895847849603127
311,石家庄市,585198.246218512,1946683.4211843319,247795.40550445928,1100451.8532142825,598436.16246559,288626.7973235329,959785.3536884476,0.0,1052776.9123694198,426827.8381708725,3808.6720384462205,5848760.6242745565,4247872.484565732,9230.36,1840.5799999999997,20.0,5.0,0.38218528028493537,0.7262859189236542
29,西安市/咸阳市,872641.8006174273,5302499.937179202,608116.137306411,3592458.758627362,1101925.0412454288,433749.69367214997,905280.6021742116,0.0,1042640.8771486402,422718.38064945734,3772.0025090592153,5792449.317492444,7684171.110174204,79250.18000000002,4859.165,50.0,5.0,0.9902977680838094,1.326584090596875
371,郑州市,685198.8701148292,2749184.2858440476,285561.01178938174,1623462.4268791273,840160.8471755387,153607.3272550796,1170944.1501706294,0.0,1348614.1566424833,546769.2710992489,4878.93395904429,7492300.870236016,5422349.91991224,6670.98,176.28,26.0,2.0,0.3874366050395525,0.7237229275526184
24,沈阳市/铁岭市/抚顺市,844735.9274103134,3246788.6361667295,406329.0797306436,2097672.9875711403,742786.5688649457,243723.67789870407,940902.6029229664,0.0,1204075.4274505428,488168.8662194427,4356.030569087808,6689307.930280799,5635490.344438943,20534.206666666647,1334.6166666999998,38.0,3.0,0.5218046994465257,0.8424623897082849
711,鄂州市,1920273.2577281464,8222000.643375155,1909115.045093821,4208520.839534923,2104364.7587464093,421341.6283220802,2185584.3927550926,0.0,3356277.413318557,1360737.128442843,12142.13551530607,18645985.62954754,14185204.077770885,32625.253333333334,2426.93,53.0,5.0,0.46354976580055274,0.7607645076853521
